"ID","`UseCondition` ","`UseReversed` ","`UseInversion` ","`UseStrict` ","`UseUnsafe` ","Description"
"1 ","`AsCondition` (default) ","`UseForward` (default) ","`AsInitial` (default) ","`AsLoose` (default) ","`AsSafe` (default) ",return `true` if A extends B otherwise `false`.
"2 ","`AsCondition` (default) ","`UseForward` (default) ","`AsInitial` (default) ","`AsLoose` (default) ","`AsUnsafe` ",return `true` if A extends B (converting `boolean` to `true`) otherwise `false`.
"3 ","`AsCondition` (default) ","`UseForward` (default) ","`AsInitial` (default) ","`AsStrict` ","`AsSafe` (default) ",return `true` if A is B otherwise `false`.
"4 ","`AsCondition` (default) ","`UseForward` (default) ","`AsInitial` (default) ","`AsStrict` ","`AsUnsafe` ",return `true` if A is B (converting `boolean` to `true`) otherwise `false`.
"5 ","`AsCondition` (default) ","`UseForward` (default) ","`AsInverted` ","`AsLoose` (default) ","`AsSafe` (default) ",return `false` if A extends B otherwise `true`.
"6 ","`AsCondition` (default) ","`UseForward` (default) ","`AsInverted` ","`AsLoose` (default) ","`AsUnsafe` ",return `false` if A extends B (converting `boolean` to `true`) otherwise `true`.
"7 ","`AsCondition` (default) ","`UseForward` (default) ","`AsInverted` ","`AsStrict` ","`AsSafe` (default) ",return `false` if A is B otherwise `true`.
"8 ","`AsCondition` (default) ","`UseForward` (default) ","`AsInverted` ","`AsStrict` ","`AsUnsafe` ",return `false` if A is B (converting `boolean` to `true`) otherwise `true`.
"9 ","`AsCondition` (default) ","`UseReversed` ","`AsInitial` (default) ","`AsLoose` (default) ","`AsSafe` (default) ",return `true` if B extends A otherwise `false`.
"10 ","`AsCondition` (default) ","`UseReversed` ","`AsInitial` (default) ","`AsLoose` (default) ","`AsUnsafe` ",return `true` if B extends A (converting `boolean` to `true`) otherwise `false`.
"11 ","`AsCondition` (default) ","`UseReversed` ","`AsInitial` (default) ","`AsStrict` ","`AsSafe` (default) ",return `true` if B is A otherwise `false`.
